date,Open,High,Low,Close,Volume,seconds
2024-02-25 04:15:00,51483.14000000,51566.82000000,51461.10000000,51560.55000000,134.72760000,1708805700
2024-02-25 04:30:00,51560.54000000,51560.55000000,51492.48000000,51505.72000000,132.01772000,1708806600
2024-02-25 04:45:00,51505.72000000,51543.21000000,51498.68000000,51511.54000000,121.28125000,1708807500
2024-02-25 05:00:00,51511.54000000,51516.00000000,51468.24000000,51494.66000000,147.42183000,1708808400
2024-02-25 05:15:00,51494.66000000,51522.22000000,51481.08000000,51502.97000000,144.09995000,1708809300
2024-02-25 05:30:00,51502.97000000,51561.10000000,51491.10000000,51502.78000000,122.72980000,1708810200
2024-02-25 05:45:00,51502.77000000,51638.90000000,51495.59000000,51562.32000000,241.24103000,1708811100
2024-02-25 06:00:00,51562.32000000,51660.00000000,51558.01000000,51622.70000000,167.11740000,1708812000
2024-02-25 06:15:00,51622.69000000,51666.00000000,51605.56000000,51650.32000000,138.24100000,1708812900
2024-02-25 06:30:00,51650.32000000,51664.00000000,51612.87000000,51612.88000000,133.38642000,1708813800
2024-02-25 06:45:00,51612.87000000,51612.88000000,51556.60000000,51556.61000000,73.19110000,1708814700
2024-02-25 07:00:00,51556.60000000,51651.10000000,51497.57000000,51607.25000000,211.68534000,1708815600
2024-02-25 07:15:00,51607.26000000,51612.64000000,51563.06000000,51598.98000000,126.47602000,1708816500
2024-02-25 07:30:00,51598.97000000,51624.07000000,51566.00000000,51585.43000000,89.80365000,1708817400
2024-02-25 07:45:00,51585.43000000,51585.43000000,51539.47000000,51568.22000000,81.37827000,1708818300
2024-02-25 08:00:00,51568.21000000,51581.10000000,51529.39000000,51529.39000000,92.05415000,1708819200
2024-02-25 08:15:00,51529.40000000,51529.40000000,51464.05000000,51489.23000000,186.61537000,1708820100
2024-02-25 08:30:00,51489.23000000,51497.44000000,51442.31000000,51450.66000000,116.50749000,1708821000
2024-02-25 08:45:00,51450.67000000,51500.00000000,51443.81000000,51486.86000000,95.23590000,1708821900
2024-02-25 09:00:00,51486.85000000,51561.09000000,51441.10000000,51443.74000000,154.88733000,1708822800
2024-02-25 09:15:00,51443.74000000,51513.54000000,51438.88000000,51511.01000000,114.87144000,1708823700
2024-02-25 09:30:00,51511.00000000,51640.00000000,51491.10000000,51619.48000000,230.97540000,1708824600
2024-02-25 09:45:00,51619.48000000,51687.80000000,51581.10000000,51684.01000000,257.86918000,1708825500
2024-02-25 10:00:00,51684.01000000,51855.55000000,51655.82000000,51783.13000000,481.30018000,1708826400
2024-02-25 10:15:00,51783.13000000,51898.72000000,51691.10000000,51821.09000000,430.07224000,1708827300
2024-02-25 10:30:00,51821.10000000,51821.10000000,51681.46000000,51695.22000000,343.82857000,1708828200
2024-02-25 10:45:00,51695.22000000,51706.52000000,51550.01000000,51602.05000000,282.09667000,1708829100
2024-02-25 11:00:00,51602.06000000,51602.15000000,51481.69000000,51546.64000000,236.72371000,1708830000
2024-02-25 11:15:00,51546.65000000,51555.95000000,51456.98000000,51551.92000000,205.03637000,1708830900
2024-02-25 11:30:00,51551.93000000,51599.00000000,51537.55000000,51588.90000000,98.25159000,1708831800
2024-02-25 11:45:00,51588.90000000,51628.42000000,51545.11000000,51624.99000000,275.39346000,1708832700
2024-02-25 12:00:00,51625.00000000,51626.84000000,51576.30000000,51612.94000000,139.53707000,1708833600
2024-02-25 12:15:00,51612.93000000,51617.98000000,51524.00000000,51533.34000000,131.67475000,1708834500
2024-02-25 12:30:00,51533.34000000,51561.10000000,51509.00000000,51552.82000000,111.07836000,1708835400
2024-02-25 12:45:00,51552.83000000,51621.00000000,51550.99000000,51617.56000000,107.01609000,1708836300
2024-02-25 13:00:00,51617.56000000,51647.86000000,51597.08000000,51637.45000000,106.84381000,1708837200
2024-02-25 13:15:00,51637.45000000,51688.00000000,51594.00000000,51613.28000000,185.70709000,1708838100
2024-02-25 13:30:00,51613.27000000,51665.20000000,51605.75000000,51665.19000000,124.81164000,1708839000
2024-02-25 13:45:00,51665.19000000,51726.23000000,51665.19000000,51669.32000000,121.87777000,1708839900
2024-02-25 14:00:00,51669.33000000,51678.00000000,51630.31000000,51669.09000000,132.71703000,1708840800
2024-02-25 14:15:00,51669.09000000,51750.00000000,51644.00000000,51747.14000000,219.31652000,1708841700
2024-02-25 14:30:00,51747.14000000,51800.00000000,51672.30000000,51796.71000000,259.75200000,1708842600
2024-02-25 14:45:00,51796.71000000,51800.03000000,51744.18000000,51756.88000000,202.77613000,1708843500
2024-02-25 15:00:00,51756.88000000,51769.55000000,51712.72000000,51713.15000000,120.80690000,1708844400
2024-02-25 15:15:00,51713.14000000,51732.00000000,51681.46000000,51705.19000000,95.13633000,1708845300
2024-02-25 15:30:00,51705.19000000,51731.10000000,51695.86000000,51731.10000000,91.94554000,1708846200
2024-02-25 15:45:00,51731.09000000,51774.21000000,51684.21000000,51719.28000000,156.35582000,1708847100
2024-02-25 16:00:00,51719.28000000,51740.18000000,51695.01000000,51740.17000000,119.67901000,1708848000
2024-02-25 16:15:00,51740.18000000,51777.64000000,51729.99000000,51729.99000000,108.20616000,1708848900
2024-02-25 16:30:00,51729.99000000,51737.10000000,51666.66000000,51666.67000000,134.12926000,1708849800
2024-02-25 16:45:00,51666.66000000,51676.27000000,51582.81000000,51606.36000000,187.59842000,1708850700
2024-02-25 17:00:00,51606.35000000,51632.50000000,51531.73000000,51580.34000000,234.89215000,1708851600
2024-02-25 17:15:00,51580.34000000,51600.00000000,51550.00000000,51599.99000000,107.82522000,1708852500
2024-02-25 17:30:00,51599.99000000,51650.00000000,51582.01000000,51644.98000000,83.72214000,1708853400
2024-02-25 17:45:00,51644.99000000,51644.99000000,51633.78000000,51639.51000000,108.41365000,1708854300
2024-02-25 18:00:00,51639.51000000,51675.84000000,51639.51000000,51660.71000000,189.33163000,1708855200
2024-02-25 18:15:00,51660.71000000,51679.99000000,51561.19000000,51573.92000000,127.69459000,1708856100
2024-02-25 18:30:00,51573.93000000,51607.23000000,51573.92000000,51597.12000000,90.41824000,1708857000
2024-02-25 18:45:00,51597.13000000,51597.13000000,51556.67000000,51576.01000000,75.32248000,1708857900
2024-02-25 19:00:00,51576.00000000,51627.18000000,51553.29000000,51614.02000000,143.04100000,1708858800
2024-02-25 19:15:00,51614.01000000,51681.92000000,51612.00000000,51681.92000000,87.45987000,1708859700
2024-02-25 19:30:00,51681.91000000,51688.00000000,51644.83000000,51667.09000000,77.77550000,1708860600
2024-02-25 19:45:00,51667.09000000,51700.01000000,51640.58000000,51645.00000000,122.68237000,1708861500
2024-02-25 20:00:00,51645.00000000,51658.57000000,51611.10000000,51626.58000000,128.05195000,1708862400
2024-02-25 20:15:00,51626.58000000,51637.59000000,51585.36000000,51595.40000000,88.06495000,1708863300
2024-02-25 20:30:00,51595.41000000,51595.41000000,51585.38000000,51595.35000000,80.87507000,1708864200
2024-02-25 20:45:00,51595.35000000,51668.02000000,51595.34000000,51656.46000000,122.70600000,1708865100
2024-02-25 21:00:00,51656.46000000,51693.59000000,51569.02000000,51578.75000000,147.68547000,1708866000
2024-02-25 21:15:00,51578.76000000,51603.21000000,51554.53000000,51603.21000000,136.12686000,1708866900
2024-02-25 21:30:00,51603.21000000,51680.75000000,51603.20000000,51677.02000000,154.12316000,1708867800
2024-02-25 21:45:00,51677.01000000,51689.99000000,51612.88000000,51612.92000000,142.64244000,1708868700
2024-02-25 22:00:00,51612.93000000,51635.75000000,51601.22000000,51635.57000000,95.19331000,1708869600
2024-02-25 22:15:00,51635.57000000,51655.04000000,51610.00000000,51641.33000000,127.24134000,1708870500
2024-02-25 22:30:00,51641.33000000,51770.00000000,51600.00000000,51754.00000000,452.27020000,1708871400
2024-02-25 22:45:00,51754.00000000,51780.00000000,51700.00000000,51741.22000000,299.95204000,1708872300
2024-02-25 23:00:00,51741.22000000,51759.73000000,51706.75000000,51759.72000000,198.00503000,1708873200
2024-02-25 23:15:00,51759.72000000,51759.73000000,51661.10000000,51694.61000000,184.42524000,1708874100
2024-02-25 23:30:00,51694.60000000,51706.11000000,51524.00000000,51555.11000000,219.66902000,1708875000
2024-02-25 23:45:00,51555.12000000,51563.87000000,51436.67000000,51524.02000000,438.03482000,1708875900
2024-02-26 00:00:00,51524.02000000,51593.42000000,51460.00000000,51590.38000000,355.88717000,1708876800
2024-02-26 00:15:00,51590.37000000,51626.00000000,51460.00000000,51467.97000000,253.87943000,1708877700
2024-02-26 00:30:00,51467.98000000,51467.98000000,51311.10000000,51364.13000000,757.19179000,1708878600
2024-02-26 00:45:00,51364.13000000,51413.82000000,51279.80000000,51378.48000000,330.16517000,1708879500
